   1.0000000e+00   7.6440000e+03   1.7761370e+05   1.6198440e+05
   2.0000000e+00   2.4700000e+02   1.7668710e+05   5.6335000e+04
   3.0000000e+00   4.2860000e+03   1.7656800e+05   1.4837300e+05
   4.0000000e+00   3.4870000e+03   1.7912610e+05   8.3708600e+04
   5.0000000e+00   5.1420000e+03   1.7650970e+05   1.4619660e+05
   6.0000000e+00   2.3270000e+03   1.7861470e+05   7.0460400e+04
   7.0000000e+00   4.6700000e+02   6.9019100e+04   1.6166480e+05
   8.0000000e+00   1.1430000e+03   6.7840100e+04   5.1282800e+04
   9.0000000e+00   1.4890000e+03   6.6479200e+04   1.3772610e+05
   1.0000000e+01   4.6600000e+02   6.6920000e+04   7.6216000e+04
   1.1000000e+01   1.1240000e+03   6.6678300e+04   1.4017180e+05
   1.2000000e+01   6.5400000e+02   6.5618200e+04   6.6812000e+04
   1.3000000e+01   2.5910000e+03   1.1201930e+05   1.5468370e+05
   1.4000000e+01   1.0710000e+03   1.1087160e+05   5.3712700e+04
   1.5000000e+01   3.1220000e+03   1.1011180e+05   1.4771570e+05
   1.6000000e+01   1.1920000e+03   1.1287880e+05   8.6461400e+04
   1.7000000e+01   2.6970000e+03   1.1036600e+05   1.4656390e+05
   1.8000000e+01   1.0780000e+03   1.1129090e+05   7.0483600e+04
   1.9000000e+01   3.1180000e+03   8.6400600e+04   1.5389450e+05
   2.0000000e+01   5.0800000e+02   8.7355800e+04   5.4220100e+04
   2.1000000e+01   1.6620000e+03   8.3616600e+04   1.3427090e+05
   2.2000000e+01   1.6970000e+03   8.7957400e+04   8.4001200e+04
   2.3000000e+01   2.3530000e+03   8.9213800e+04   1.4651940e+05
   2.4000000e+01   1.2920000e+03   8.7731500e+04   7.0485900e+04
   2.5000000e+01   5.2240000e+03   1.9187170e+05   1.5649180e+05
   2.6000000e+01   1.4540000e+03   1.8878060e+05   5.1522500e+04
   2.7000000e+01   4.6750000e+03   1.8686890e+05   1.3518910e+05
   2.8000000e+01   2.2000000e+03   1.9113800e+05   7.9473600e+04
   2.9000000e+01   3.6380000e+03   1.8931560e+05   1.4019040e+05
   3.0000000e+01   2.5860000e+03   1.8544930e+05   6.8639300e+04
   3.1000000e+01   1.9610000e+03   9.0383900e+04   1.5227140e+05
   3.2000000e+01   9.0000000e+02   8.8086100e+04   5.2923300e+04
   3.3000000e+01   1.7650000e+03   8.9167000e+04   1.3925540e+05
   3.4000000e+01   1.2600000e+03   8.9391800e+04   8.1252800e+04
   3.5000000e+01   2.4590000e+03   9.0234400e+04   1.4230500e+05
   3.6000000e+01   7.3700000e+02   8.7262900e+04   6.4238900e+04
